Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP,WinPercentage
A. Taylor,Michael,1521,KCR,AL,528,12,54,14,0.244,0.653,0.29,2.6,139,135,10,OF,0,0.451
Abreu,José,5,CHW,AL,659,30,117,1,0.261,0.831,0.358,2.9,136,134,-2,1B-3B,0,NA
Adames,Willy,8,TOT,MLB,555,25,73,5,0.262,0.818,0.358,4.2,136,131,3,SS,0,NA
Albies,Ozzie,26,ATL,NL,686,30,106,20,0.259,0.799,0.346,3.6,156,156,22,2B,0,0.574
Alonso,Pete,41,NYM,NL,637,37,94,3,0.262,0.863,0.377,4.1,148,148,1,1B,0,0.46
Altuve,Jose,43,HOU,AL,678,31,83,5,0.278,0.839,0.359,4.5,144,143,0,2B,0,0.321
Anderson,Tim,57,CHW,AL,551,17,61,18,0.309,0.806,0.357,4.7,122,122,-6,SS,0,NA
Andrus,Elvis,65,OAK,AL,541,3,37,12,0.243,0.614,0.285,0.6,143,141,-5,SS,0,0.586
Arenado,Nolan,74,STL,NL,653,34,105,2,0.255,0.807,0.344,4.0,155,155,7,3B,0,0.547
Bell,Josh,133,WSN,NL,568,27,88,0,0.261,0.823,0.37,3.1,123,122,-1,1B-OF,0,0.66
Benintendi,Andrew,139,KCR,AL,538,17,73,8,0.276,0.766,0.329,2.6,129,129,11,OF,0,0.451
Betts,Mookie,148,LAD,NL,550,23,58,10,0.264,0.854,0.38,4.0,120,116,8,OF-2B,0,0.531
Bichette,Bo,150,TOR,AL,690,29,102,25,0.298,0.828,0.365,5.8,148,148,-8,SS,0,0.457
Blackmon,Charlie,159,COL,NL,582,13,78,3,0.27,0.761,0.34,1.0,137,134,-8,OF,0,0.37
Bogaerts,Xander,165,BOS,AL,603,23,79,5,0.295,0.863,0.379,5.0,138,137,-1,SS,0,0.414
Bryant,Kris,198,TOT,NL,586,25,73,10,0.265,0.835,0.368,3.3,138,138,-13,OF-3B-1B-SS,0,NA
Báez,Javier,94,TOT,NL,547,31,87,18,0.265,0.813,0.358,4.5,133,130,0,SS-2B,0,NA
Candelario,Jeimer,232,DET,AL,626,16,67,0,0.271,0.795,0.348,3.7,142,142,-7,3B,0,0.556
Canha,Mark,233,OAK,AL,625,17,61,12,0.231,0.746,0.348,2.6,135,134,-4,OF-1B,0,0.586
Carlson,Dylan,236,STL,NL,619,18,65,2,0.266,0.78,0.343,3.1,145,145,4,OF,0,0.547
Castellanos,Nick,244,CIN,NL,585,34,100,3,0.309,0.939,0.398,3.4,135,134,-13,OF,0,0.654
Chapman,Matt,270,OAK,AL,622,27,72,3,0.21,0.716,0.31,3.5,150,150,3,3B-SS,0,0.586
Chisholm Jr.,Jazz,282,MIA,NL,507,18,53,23,0.248,0.728,0.323,2.5,121,118,3,2B-SS,0,0.438
Correa,Carlos,311,HOU,AL,640,26,92,0,0.279,0.85,0.369,7.2,148,147,13,SS,0,0.321
Crawford,Brandon,317,SFG,NL,549,24,90,11,0.298,0.895,0.389,6.1,135,130,-2,SS,0,0.586
Crawford,J.P.,318,SEA,AL,687,9,54,3,0.273,0.715,0.312,3.8,160,159,7,SS,0,0.475
Cron,C.J.,323,COL,NL,547,28,92,1,0.281,0.905,0.393,3.3,130,129,1,1B,0,0.37
Cronenworth,Jake,324,SDP,NL,643,21,71,4,0.266,0.8,0.35,4.8,149,145,3,2B-SS-1B-P,0,0.475
Devers,Rafael,381,BOS,AL,664,38,113,5,0.279,0.89,0.373,3.7,151,151,-22,3B-2B,0,0.414
Dozier,Hunter,408,KCR,AL,543,16,54,5,0.216,0.68,0.289,-2.4,131,127,-6,OF-3B-1B,0,0.451
Duvall,Adam,419,TOT,NL,555,38,113,5,0.228,0.772,0.333,3.1,137,132,19,OF,0,NA
Díaz,Yandy,388,TBR,AL,541,13,64,1,0.256,0.74,0.332,1.5,126,118,-2,1B-3B-2B,0,0.562
Edman,Tommy,428,STL,NL,691,11,56,30,0.262,0.695,0.317,3.5,157,153,2,2B-OF-SS,0,0.547
