Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP,WinPercentage
Abreu,Bobby,3,NYY,AL,684,20,100,22,0.296,0.843,0.374,2.7,150,148,-6,OF,0,0.549
Atkins,Garrett,30,COL,NL,664,21,99,1,0.286,0.78,0.348,-0.3,154,152,2,3B-1B-2B,0,0.457
Barton,Daric,67,OAK,AL,523,9,47,2,0.226,0.674,0.306,0.7,134,124,5,1B-3B,0,0.466
Bay,Jason,77,TOT,MLB,670,31,101,10,0.286,0.895,0.404,4.4,154,153,-30,OF,0,
Beltrán,Carlos,88,NYM,NL,706,27,112,25,0.284,0.876,0.387,7.0,158,158,16,OF,0,0.549
Beltré,Adrián,89,SEA,AL,612,25,77,8,0.266,0.784,0.341,5.6,139,137,10,3B,0,0.377
Berkman,Lance,95,HOU,NL,665,29,106,18,0.312,0.986,0.422,6.9,152,151,9,1B,0,0.534
Betancourt,Yuniesky,100,SEA,AL,590,7,51,4,0.279,0.691,0.308,-0.1,153,150,-9,SS,0,0.377
Blake,Casey,105,TOT,MLB,601,21,81,3,0.274,0.808,0.355,2.7,152,149,7,3B-1B-SS-2B,0,
Blanco,Grégor,109,ATL,NL,519,1,38,13,0.251,0.676,0.327,0.9,137,113,-11,OF,0,0.444
Bourn,Michael,131,HOU,NL,514,5,29,41,0.229,0.588,0.282,-0.6,130,111,-8,OF,0,0.534
Braun,Ryan,141,MIL,NL,663,37,106,14,0.285,0.888,0.386,4.6,149,148,-13,OF,0,0.556
Burrell,Pat,168,PHI,NL,645,33,86,0,0.25,0.875,0.377,2.4,155,154,-10,OF,0,0.568
Cabrera,Miguel,186,DET,AL,684,37,127,1,0.292,0.887,0.384,2.7,153,153,0,1B-3B,0,0.457
Cabrera,Orlando,187,CHW,AL,730,8,57,19,0.281,0.705,0.324,2.6,161,160,3,SS,0,
Cantu,Jorge,199,FLA,NL,685,29,95,6,0.277,0.808,0.357,1.3,153,152,2,3B-1B,0,0.522
Canó,Robinson,198,NYY,AL,634,14,72,2,0.271,0.715,0.316,0.2,159,154,3,2B,0,0.549
Crosby,Bobby,277,OAK,AL,605,7,61,7,0.237,0.645,0.295,1.0,145,144,-2,SS,0,0.466
DeJesus,David,300,KCR,AL,577,12,73,11,0.307,0.818,0.362,2.2,133,129,15,OF,0,0.463
DeRosa,Mark,308,CHC,NL,593,21,87,6,0.285,0.857,0.388,1.8,148,143,-3,2B-OF-3B-1B-SS,0,0.602
Delgado,Carlos,302,NYM,NL,686,38,115,1,0.271,0.871,0.369,1.3,154,154,-2,1B,0,0.549
Drew,Stephen,329,ARI,NL,663,21,67,3,0.291,0.836,0.365,3.0,151,147,-9,SS,0,0.506
Dunn,Adam,336,TOT,NL,651,40,100,2,0.236,0.898,0.386,0.8,154,154,-16,OF-1B,0,
Dye,Jermaine,344,CHW,AL,645,34,96,3,0.292,0.885,0.385,2.8,151,151,-13,OF,0,
Ellsbury,Jacoby,359,BOS,AL,609,9,47,50,0.28,0.729,0.339,3.0,140,129,23,OF,0,0.586
Encarnación,Edwin,361,CIN,NL,582,26,68,1,0.251,0.807,0.362,0.6,143,141,-12,3B,0,0.457
Escobar,Yunel,365,ATL,NL,587,10,60,2,0.288,0.766,0.351,3.5,126,125,7,SS,0,0.444
Ethier,Andre,370,LAD,NL,596,20,77,6,0.305,0.885,0.388,2.2,140,131,-11,OF,0,0.519
Fielder,Prince,387,MIL,NL,694,34,102,3,0.276,0.879,0.38,1.5,155,155,-2,1B,0,0.556
Francoeur,Jeff,405,ATL,NL,653,11,71,0,0.239,0.653,0.293,-1.7,152,151,-11,OF,0,0.444
Fukudome,Kosuke,411,CHC,NL,590,10,58,12,0.257,0.738,0.335,0.6,143,126,5,OF,0,0.602
Garko,Ryan,425,CLE,AL,563,14,90,0,0.273,0.75,0.343,1.5,121,121,-11,1B,0,0.5
Giles,Brian,440,SDP,NL,653,12,63,2,0.306,0.854,0.385,4.8,144,142,-2,OF,0,0.389
Glaus,Troy,442,STL,NL,637,27,99,0,0.27,0.856,0.376,4.4,149,148,1,3B-1B,0,0.531
González,Adrián,452,SDP,NL,700,36,119,0,0.279,0.871,0.373,3.5,161,159,0,1B,0,0.389
Gordon,Alex,463,KCR,AL,571,16,59,9,0.26,0.783,0.354,2.8,133,133,2,3B,0,0.463
Granderson,Curtis,468,DET,AL,629,22,66,12,0.28,0.858,0.381,3.9,140,131,-5,OF,0,0.457
Griffey Jr.,Ken,473,TOT,MLB,575,18,71,0,0.249,0.778,0.339,0.4,123,122,-10,OF,0,
Guzman,Cristian,492,WSN,NL,612,9,55,6,0.316,0.786,0.357,4.6,136,132,8,SS,0,0.366
