Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1,Brent Abernathy,MIN,AL,79,1,6,2,0.239,0.614,22,17,-2,2B-OF,0.289,-0.2
2,Bobby Abreu*,PHI,NL,719,24,102,31,0.286,0.879,158,158,-1,OF,0.399,3.6
3,Jeremy Accardo,SFG,NL,2,0,0,0,0.5,1,28,0,,P,0.407,0
4,Jose Acevedo,COL,NL,11,0,0,0,0.125,0.425,36,5,,P,0.236,0
5,Mike Adams,MIL,NL,0,0,0,0,,,13,0,,P,0.322,0
6,Russ Adams*,TOR,AL,545,8,63,11,0.256,0.707,132,122,-15,SS,0.249,0.9
7,Terry Adams,PHI,NL,0,0,0,0,,,16,0,,P,0.176,0
8,Jeremy Affeldt*,KCR,AL,0,0,0,0,,,5,0,,P,0.305,
9,Chris Aguila,FLA,NL,81,0,4,0,0.244,0.554,49,0,,P,0.293,0
10,Manny Alexander,SDP,NL,21,0,0,0,0.111,0.405,42,12,-3,OF,0.298,-0.4
11,Antonio Alfonseca,FLA,NL,0,0,0,0,,,10,4,0,SS-2B-3B-1B,0.418,-0.2
12,Edgardo Alfonzo,SFG,NL,402,2,43,2,0.277,0.672,33,0,,P,0,0
13,Chad Allen,TEX,AL,56,0,5,0,0.283,0.649,99,94,-12,3B-2B,0.329,-1
14,Armando Almanza*,ARI,NL,0,0,0,0,,,2,1,-1,OF,0.252,-0.3
15,Sandy Alomar,TEX,AL,137,0,14,0,0.273,0.634,6,0,,P,0.271,0
16,Moises Alou,SFG,NL,490,19,63,5,0.321,0.918,6,0,,P,0.238,
17,Wilson Alvarez*,LAD,NL,3,0,0,0,0,0,46,34,-5,C,0.24,-0.2
18,Chip Ambres,KCR,AL,167,4,9,3,0.241,0.702,117,117,-2,OF,0.322,3.4
19,Alfredo Amezaga#,TOT,NL,7,0,0,1,0.167,0.452,2,0,,P,0.325,
20,Alfredo Amezaga#,COL,NL,3,0,0,0,0.333,0.667,21,2,,P,0.245,0
21,Alfredo Amezaga#,PIT,NL,4,0,0,1,0,0.25,47,34,-6,OF,0.312,-0.2
22,Brian Anderson,CHW,AL,35,2,3,1,0.176,0.559,2,0,0,SS-3B,0.157,-0.1
23,Garret Anderson*,LAA,AL,603,17,96,1,0.283,0.743,6,6,,P,0,
24,Marlon Anderson*,NYM,NL,260,7,19,6,0.264,0.708,12,7,-1,OF,0.125,0.1
25,Matt Anderson,COL,NL,0,0,0,0,,,106,106,1,OF,0.09,0
26,Robert Andino,FLA,NL,50,0,1,1,0.159,0.495,3,0,,P,0,
27,Greg Aquino,ARI,NL,0,0,0,0,,,61,45,2,1B-2B-OF,0.095,0.7
28,Danny Ardoin,COL,NL,248,6,22,1,0.229,0.681,12,0,,P,0.355,0
29,Tony Armas,WSN,NL,34,0,0,0,0.125,0.277,17,13,-5,SS,0.352,-0.7
30,Bronson Arroyo,BOS,AL,1,0,0,0,0,0,35,0,,P,0.318,0
31,Ezequiel Astacio,HOU,NL,23,0,0,0,0.143,0.286,80,66,4,C,0.303,1.1
32,Pedro Astacio,TOT,MLB,23,0,1,0,0.059,0.17,19,19,,P,0.406,-0.1
33,Pedro Astacio,TEX,AL,1,0,0,0,0,0,35,32,,P,0.315,0
34,Pedro Astacio,SDP,NL,22,0,1,0,0.063,0.18,22,14,,P,0.303,-0.1
35,Garrett Atkins,COL,NL,573,13,89,0,0.287,0.773,24,22,,P,0.352,-0.2
36,Rich Aurilia,CIN,NL,468,14,68,2,0.282,0.782,6,0,,P,0.31,
37,Brad Ausmus,HOU,NL,451,3,47,5,0.258,0.682,136,136,0,3B,0.303,2.3
38,Luis Ayala,WSN,NL,4,0,0,0,0.333,0.667,109,107,-2,2B-SS-3B,0,1.6
39,Manny Aybar,NYM,NL,0,0,0,0,,,134,118,7,C-SS-2B,0,0.6
40,Willy Aybar#,LAD,NL,105,1,10,3,0.326,0.901,68,0,,P,0.336,0.1
41,Brandon Backe,HOU,NL,53,0,6,1,0.222,0.626,22,0,,P,0.257,0
42,Carlos Baerga#,WSN,NL,174,2,19,0,0.253,0.653,25,22,1,3B-2B,0.349,1
43,Danys Báez,TBD,AL,0,0,0,0,,,26,25,,P,0.363,0.6
44,Jeff Bagwell,HOU,NL,123,3,19,0,0.25,0.738,37,24,-3,3B-1B-2B,0.304,-0.5
45,Jeff Baker,COL,NL,43,1,4,0,0.211,0.697,67,0,,P,0.91,0
46,Paul Bako*,LAD,NL,47,0,4,0,0.25,0.662,24,24,3,1B,0.234,0.3
47,James Baldwin,TOT,AL,2,0,0,0,0,0,4,0,,P,0.423,
48,James Baldwin,BAL,AL,1,0,0,0,0,0,10,10,2,3B,0,-0.1
49,Rod Barajas,TEX,AL,450,21,60,0,0.254,0.771,10,9,,P,0.228,
50,Josh Bard#,CLE,AL,95,1,9,0,0.193,0.543,13,13,1,C,0.116,0.2
51,Clint Barmes,COL,NL,377,10,46,6,0.289,0.764,28,0,,P,0.303,0
52,Michael Barrett,CHC,NL,477,16,61,0,0.276,0.824,120,117,0,C-1B,0,1.5
53,Jason Bartlett,MIN,AL,252,3,16,4,0.241,0.651,31,23,0,C,0.31,-0.2
54,Cliff Bartosh*,CHC,NL,1,0,0,0,1,2,80,78,4,SS,0.314,2.6
55,Miguel Batista,TOR,AL,0,0,0,0,,,122,114,-4,C,0.251,2
56,José Bautista,PIT,NL,31,0,1,1,0.143,0.404,68,65,8,SS,0.336,1.8
57,Jason Bay,PIT,NL,707,32,101,21,0.306,0.961,19,0,,P,0.342,0.1
58,Jonah Bayliss,KCR,AL,0,0,0,0,,,71,0,,P,0.324,0
59,Yorman Bazardo,FLA,NL,1,0,0,0,0,0,5,0,,P,0.266,
60,Josh Beckett,FLA,NL,71,1,6,0,0.153,0.493,7,7,,P,0,
61,Matt Belisle,CIN,NL,8,0,0,0,0.143,0.286,8,7,0,3B,0.233,-0.3
62,David Bell,PHI,NL,617,10,61,0,0.248,0.671,162,162,-11,OF,0.405,5.7
63,Heath Bell,NYM,NL,3,0,0,0,0,0,11,0,,P,0.117,0
64,Mark Bellhorn#,TOT,AL,355,8,30,3,0.21,0.681,1,0,,P,0.406,0
65,Mark Bellhorn#,BOS,AL,335,7,28,3,0.216,0.689,1,0,,P,0.91,
66,Mark Bellhorn#,NYY,AL,20,1,2,0,0.118,0.544,29,29,,P,0.304,0.3
67,Ronnie Belliard,CLE,AL,587,17,78,2,0.284,0.774,24,24,,P,0.285,
